record_date |category       |var_0      |var_1
2022-07-24  |cat_0          |52         |2942
2022-07-24  |cat_1          |37         |709
2022-07-24  |cat_2          |52         |1432
2022-07-24  |cat_3          |25         |923
2022-08-05  |cat_0          |68         |3608
2022-08-05  |cat_1          |56         |1116
2022-08-05  |cat_2          |76         |2423
2022-08-05  |cat_3          |41         |1599
2022-08-12  |cat_0          |70         |3652
2022-08-12  |cat_1          |59         |1191
2022-08-12  |cat_2          |92         |3464
2022-08-12  |cat_3          |43         |1737
2022-08-19  |cat_0          |79         |3878
2022-08-19  |cat_1          |75         |1577
2022-08-19  |cat_2          |109        |4361
2022-08-19  |cat_3          |52         |2270
2022-08-25  |cat_0          |84         |4002
2022-08-25  |cat_1          |80         |1685
2022-08-25  |cat_2          |113        |4566
2022-08-25  |cat_3          |53         |2293
2022-09-01  |cat_0          |87         |4167
2022-09-01  |cat_1          |75         |1513
2022-09-01  |cat_2          |114        |4549
2022-09-01  |cat_3          |57         |2381
2022-09-08  |cat_0          |96         |4475
2022-09-08  |cat_1          |88         |1782
2022-09-08  |cat_2          |128        |5052
2022-09-08  |cat_3          |68         |2822
2022-09-23  |cat_0          |98         |3655
2022-09-23  |cat_1          |119        |2469
2022-09-23  |cat_2          |156        |5937
2022-09-23  |cat_3          |91         |3571
2022-09-30  |cat_0          |99         |3687
2022-09-30  |cat_1          |121        |2512
2022-09-30  |cat_2          |159        |5950
2022-09-30  |cat_3          |92         |3650
2022-10-07  |cat_0          |101        |3747
2022-10-07  |cat_1          |124        |2579
2022-10-07  |cat_2          |161        |6190
2022-10-07  |cat_3          |94         |3716
2022-10-20  |cat_0          |102        |3769
2022-10-20  |cat_1          |125        |2602
2022-10-20  |cat_2          |161        |6348
2022-10-20  |cat_3          |94         |3716
2022-10-28  |cat_0          |102        |3769
2022-10-28  |cat_1          |126        |2626
2022-10-28  |cat_2          |163        |6458
2022-10-28  |cat_3          |94         |3729
2022-11-04  |cat_0          |103        |3800
2022-11-04  |cat_1          |126        |2627
2022-11-04  |cat_2          |163        |6469
2022-11-04  |cat_3          |96         |3818
