record_date |tracked_entity |file_count |loc_count
2022-07-24  |Controller     |15         |1420
2022-07-24  |DatabaseIF     |52         |2942
2022-07-24  |HTMLSpec       |37         |709
2022-07-24  |Image          |19         |2266
2022-07-24  |Mustache       |52         |1432
2022-07-24  |SCSS           |25         |1128
2022-07-24  |SQL            |25         |923
2022-08-05  |Controller     |15         |1459
2022-08-05  |DatabaseIF     |68         |3608
2022-08-05  |HTMLSpec       |56         |1116
2022-08-05  |Image          |19         |2266
2022-08-05  |Mustache       |76         |2423
2022-08-05  |SCSS           |27         |1214
2022-08-05  |SQL            |41         |1599
2022-08-12  |Controller     |15         |1519
2022-08-12  |DatabaseIF     |70         |3652
2022-08-12  |HTMLSpec       |59         |1191
2022-08-12  |Image          |19         |2266
2022-08-12  |Mustache       |92         |3464
2022-08-12  |SCSS           |34         |1652
2022-08-12  |SQL            |43         |1737
2022-08-19  |Controller     |15         |1519
2022-08-19  |DatabaseIF     |79         |3878
2022-08-19  |HTMLSpec       |75         |1577
2022-08-19  |Image          |19         |2266
2022-08-19  |Mustache       |109        |4361
2022-08-19  |SCSS           |34         |1669
2022-08-19  |SQL            |52         |2270
2022-08-25  |Controller     |15         |1515
2022-08-25  |DatabaseIF     |84         |4002
2022-08-25  |HTMLSpec       |80         |1685
2022-08-25  |Image          |19         |2266
2022-08-25  |Mustache       |113        |4566
2022-08-25  |SCSS           |34         |1693
2022-08-25  |SQL            |53         |2293
2022-09-01  |Controller     |16         |1550
2022-09-01  |DatabaseIF     |87         |4167
2022-09-01  |HTMLSpec       |75         |1513
2022-09-01  |Image          |19         |2266
2022-09-01  |Mustache       |114        |4549
2022-09-01  |SCSS           |34         |1700
2022-09-01  |SQL            |57         |2381
2022-09-08  |Controller     |16         |1556
2022-09-08  |DatabaseIF     |96         |4475
2022-09-08  |HTMLSpec       |88         |1782
2022-09-08  |Image          |19         |2266
2022-09-08  |Mustache       |128        |5052
2022-09-08  |SCSS           |34         |1699
2022-09-08  |SQL            |68         |2822
2022-09-23  |Controller     |12         |1132
2022-09-23  |DatabaseIF     |98         |3655
2022-09-23  |HTMLSpec       |119        |2469
2022-09-23  |Image          |19         |2266
2022-09-23  |Mustache       |156        |5937
2022-09-23  |SCSS           |35         |1831
2022-09-23  |SQL            |91         |3571
2022-09-30  |Controller     |12         |1133
2022-09-30  |DatabaseIF     |99         |3687
2022-09-30  |HTMLSpec       |121        |2512
2022-09-30  |Image          |19         |2266
2022-09-30  |Mustache       |159        |5950
2022-09-30  |SCSS           |35         |1841
2022-09-30  |SQL            |92         |3650
2022-10-07  |Controller     |12         |1139
2022-10-07  |DatabaseIF     |101        |3747
2022-10-07  |HTMLSpec       |124        |2579
2022-10-07  |Image          |19         |2266
2022-10-07  |Mustache       |161        |6190
2022-10-07  |SCSS           |43         |2159
2022-10-07  |SQL            |94         |3716
2022-10-20  |Controller     |12         |1139
2022-10-20  |DatabaseIF     |102        |3769
2022-10-20  |HTMLSpec       |125        |2602
2022-10-20  |Image          |19         |2266
2022-10-20  |Mustache       |161        |6348
2022-10-20  |SCSS           |44         |2305
2022-10-20  |SQL            |94         |3716
2022-10-28  |Controller     |12         |1139
2022-10-28  |DatabaseIF     |102        |3769
2022-10-28  |HTMLSpec       |126        |2626
2022-10-28  |Image          |19         |2266
2022-10-28  |Mustache       |163        |6458
2022-10-28  |SCSS           |47         |2923
2022-10-28  |SQL            |94         |3729
2022-11-04  |Controller     |12         |1139
2022-11-04  |ControllerP3   |45         |2295
2022-11-04  |DatabaseIF     |103        |3800
2022-11-04  |HTMLSpec       |126        |2627
2022-11-04  |HTMLSpecP3     |45         |2295
2022-11-04  |Image          |19         |2266
2022-11-04  |Mustache       |163        |6469
2022-11-04  |SCSS           |49         |2959
2022-11-04  |SQL            |96         |3818
2022-11-04  |SQLP3          |129        |6841
